Device,Model,Metric,Mean_ONNX,SD_ONNX,Mean_CPP,SD_CPP,Ratio_ONNX_over_CPP,CI95_Low,CI95_High,t_statistic,df,p_value,p_value_holm_corrected,Cohens_d
NVIDIA Jetson AGX Orin,LightGBM,latency,0.0603,0.0956,0.0322,0.0021,1.8726708074534162,1.8153208457626586,1.931832580050003,39.53784695058744,10032.840050795565,< 1e-300,< 1e-298,0.4155838585551411
NVIDIA Jetson AGX Orin,LightGBM,power,3967.286,26.133,3592.917,15.803,1.1041963952966352,1.1040249802616087,1.104367836946198,1251.3929646291958,17436.688692887026,< 1e-300,< 1e-298,17.33609280030062
NVIDIA Jetson AGX Orin,Random Forest,latency,0.0741,0.3887,0.001,0.0,74.1,66.85933532862767,82.12480685025524,82.07648339171114,9999.0,< 1e-300,< 1e-298,0.26596092464490156
NVIDIA Jetson AGX Orin,Random Forest,power,3996.5,64.616,3645.583,21.5,1.096258129358185,1.0958883739150047,1.0966280095577656,534.002073995996,12613.495977838698,< 1e-300,< 1e-298,7.287498863426895
NVIDIA Jetson AGX Orin,SVM,latency,0.303,0.0125,7.0543,0.239,0.042952525410033596,0.04290760527567716,0.042997492571448685,-5896.3550429864,19269.63741213756,< 1e-300,< 1e-298,-39.89434373594235
NVIDIA Jetson AGX Orin,SVM,power,3902.657,102.407,3562.613,21.139,1.0954479198273852,1.0948703946484077,1.0960257496408965,338.8615762338009,11018.871955118773,< 1e-300,< 1e-298,4.5989593091435825
NVIDIA Jetson AGX Orin,XGBoost,latency,0.0531,0.0137,0.0163,0.0064,3.257668711656442,3.227806737456546,3.287806953172087,251.37553073349537,17276.945957675933,< 1e-300,< 1e-298,3.4417332987487166
NVIDIA Jetson AGX Orin,XGBoost,power,4060.556,57.234,3517.692,47.861,1.154323914657679,1.153880749600747,1.1547672499187396,732.5713944739025,19973.08685831962,< 1e-300,< 1e-298,10.29007635753016
NVIDIA Jetson Orin Nano,LightGBM,latency,0.0571,0.1,0.0344,0.0122,1.6598837209302324,1.6027514019621438,1.7190526014428475,28.359633120863858,10817.713241798745,< 1e-169,< 1e-169,0.3186637423569959
NVIDIA Jetson Orin Nano,LightGBM,power,5578.0,982.586,5037.095,161.076,1.1073843157613663,1.1035048970609447,1.111277372724285,56.97321382995122,10657.313006888324,< 1e-300,< 1e-298,0.7682578333371564
NVIDIA Jetson Orin Nano,Random Forest,latency,0.0481,0.0891,0.001,0.0001,48.099999999999994,46.382338091310935,49.881271518596,208.79235712714953,10057.279741957893,< 1e-300,< 1e-298,0.7475804358700551
NVIDIA Jetson Orin Nano,Random Forest,power,5706.312,772.007,4742.361,278.042,1.203263943845692,1.1997913189605596,1.2067466197483654,125.49393949688364,13626.715736117103,< 1e-300,< 1e-298,1.6613645970231468
NVIDIA Jetson Orin Nano,SVM,latency,0.2997,0.0138,7.1265,0.2786,0.04205430435697748,0.0420045434680581,0.04210412419537856,-5246.072268688176,19485.124304877416,< 1e-300,< 1e-298,-34.61138156990849
NVIDIA Jetson Orin Nano,SVM,power,5222.886,496.867,5119.125,185.681,1.0202692843015164,1.0182351779853582,1.022307454107716,19.709273336710627,12846.00579124125,< 1e-84,< 1e-84,0.2766447335301116
NVIDIA Jetson Orin Nano,XGBoost,latency,0.0587,0.085,0.0189,0.0141,3.105820105820106,3.0082212079392456,3.206585507827196,69.57227181976242,14957.741901850286,< 1e-300,< 1e-298,0.6532578628378474
NVIDIA Jetson Orin Nano,XGBoost,power,5882.615,959.221,5049.474,156.395,1.1649956015220595,1.16121152540052,1.1687920089301724,92.01180270781951,10719.573938459507,< 1e-300,< 1e-298,1.2123213014836973
Raspberry Pi 5,LightGBM,latency,0.0249,0.0553,0.0128,0.0022,1.9453124999999998,1.8622002800175415,2.032134117507814,29.872743494930827,10118.769114739243,< 1e-187,< 1e-186,0.3091945515023335
Raspberry Pi 5,LightGBM,power,6325.0,906.3378,4410.7692,239.7257,1.4339902436971765,1.429688948696198,1.4383044793722108,235.20260358284636,12817.588153687759,< 1e-300,< 1e-298,2.8875895362584365
