Fold,RF_Acc,RF_BalAcc,RF_F1,RF_ROC,RF_Prec,RF_Rec,SVM_Acc,SVM_BalAcc,SVM_F1,SVM_ROC,SVM_Prec,SVM_Rec,XGB_Acc,XGB_BalAcc,XGB_F1,XGB_ROC,XGB_Prec,XGB_Rec,LGB_Acc,LGB_BalAcc,LGB_F1,LGB_ROC,LGB_Prec,LGB_Rec,FCNN32_Acc,FCNN32_BalAcc,FCNN32_F1,FCNN32_ROC,FCNN32_Prec,FCNN32_Rec,FCNN8_Acc,FCNN8_BalAcc,FCNN8_F1,FCNN8_ROC,FCNN8_Prec,FCNN8_Rec,AE32_Acc,AE32_BalAcc,AE32_F1,AE32_ROC,AE32_Prec,AE32_Rec,AE8_Acc,AE8_BalAcc,AE8_F1,AE8_ROC,AE8_Prec,AE8_Rec
11,0.9984520861116404,0.9680026461273517,0.9806984033518188,0.9933153554288277,0.9954133849293456,0.9680026461273517,0.9309868546389788,0.8342502103502315,0.8424096285746183,0.9491039990401852,0.8774297646015863,0.8342502103502315,0.9989045532482378,0.9795770577881184,0.970295257,0.9999794450756205,0.9684817991407955,0.9795770577881184,0.9981186892741475,0.9686224576055243,0.9807923316087959,0.9992054954009982,0.9947446853075098,0.9686224576055243,0.9940464850447704,0.9286668781233404,0.951788901,0.9990191318018184,0.9842393610303222,0.9286668781233404,0.9896885120975424,0.8507682679546996,0.8755449033343439,0.9995095699242182,0.9067568933374297,0.8507682679546996,0.9954038864545628,0.9421851556934784,0.9545277518884056,0.9993401196541944,0.9698641183426182,0.9421851556934784,0.9896408839779005,0.9430603052402706,0.9468719379673481,0.999378898,0.9536208103674647,0.9430603052402706
12,0.9984520861116404,0.970967384,0.982356951,0.993395032,0.9953848115587398,0.970967384,0.9162459516098304,0.8175983086367703,0.8133668,0.9473427279578904,0.8293709348146017,0.8175983086367703,0.9989521813678796,0.9782154425769443,0.9705328457209773,0.9999804216096506,0.9703823284680837,0.9782154425769443,0.9983806439321775,0.9677894114181598,0.9811056697512908,0.9991756093129615,0.996679234,0.9677894114181598,0.9950943036768908,0.9371639909000178,0.9474725251664784,0.9992717748050034,0.9631312604974608,0.9371639909000178,0.9929748523528291,0.9347362464829762,0.951171372,0.9986117648943582,0.9764992659216518,0.9347362464829762,0.9942131834635168,0.919868861,0.927259355,0.9960431566609724,0.9558217830025976,0.919868861,0.9937845303867403,0.9297100101795626,0.9458941543583566,0.9995420473038583,0.9676190558851674,0.9297100101795626
13,0.9984044579919984,0.9706834089867702,0.9819336144910218,0.992585556,0.9948300861160888,0.9706834089867702,0.9573966469803772,0.8746637364113595,0.8744165564227094,0.9414608844985466,0.8886212784870747,0.8746637364113595,0.9987616688893123,0.9778272320841237,0.9700661925824056,0.9999754819169061,0.9698348998648592,0.9778272320841237,0.9982139455134311,0.970335513,0.9821913633705209,0.9992543916574854,0.9956892995544041,0.970335513,0.9950943036768908,0.9299092416281208,0.9431041763187314,0.998979751,0.9653637077992278,0.9299092416281208,0.9905934463707373,0.9241707873415339,0.9467114186822134,0.9976946303044054,0.9769820673865213,0.9241707873415339,0.9952133739759954,0.9418785309205012,0.94998711,0.9992909977034728,0.9619992493987828,0.9418785309205012,0.9907839588493046,0.9329349047606754,0.9418544436344125,0.9991682432214352,0.9559627292610651,0.9329349047606754
14,0.9984282720518194,0.9716106197429204,0.9820439130398168,0.993372514,0.9939092577321088,0.9716106197429204,0.952181368,0.8373348177415925,0.8604048830678213,0.945591473,0.8961416401485015,0.8373348177415925,0.9988807391884168,0.9794717728372201,0.987173754,0.9999787079398216,0.9961291077231702,0.9794717728372201,0.9983806439321775,0.9694419216787961,0.9817062295669936,0.9982139729783597,0.9957902735210807,0.9694419216787961,0.9948799771385026,0.9252872097592634,0.9387488664673208,0.9991671377194206,0.9634204128456118,0.9252872097592634,0.9876643170127644,0.9357936115213001,0.9537005872806587,0.9984536230089157,0.9777113184764329,0.9357936115213001,0.9954038864545628,0.9300814489001707,0.9538062074695964,0.9992844135213356,0.9870744433292205,0.9300814489001707,0.9877357591922271,0.9417021893934288,0.9555686466133047,0.9995349908326935,0.9735135054747972,0.9417021893934288
15,0.9984044579919984,0.9678520649576974,0.9806453197236232,0.9933607132214102,0.995462095,0.9678520649576974,0.7942703372070871,0.8671138753372383,0.8424680730267006,0.9447041940909168,0.8760469400773634,0.8671138753372383,0.9989045532482378,0.9774447045644963,0.969210287,0.9999768328377759,0.9684972647693961,0.9774447045644963,0.9982139455134311,0.9689198411287142,0.9820252999238235,0.9995808826166924,0.9971691492381487,0.9689198411287142,0.9933796913697848,0.9252246056984362,0.9504460754366728,0.9982114853879094,0.9868129050114488,0.9252246056984362,0.9882834825681082,0.9112157141693328,0.937298165,0.9984073307944785,0.9759419975379084,0.9112157141693328,0.9914745665841111,0.945737466,0.9538270901398443,0.999256674,0.967460069,0.945737466,0.9905934463707373,0.9395139955623318,0.9440398477331756,0.9995502905732022,0.9538456675125289,0.9395139955623318
16,0.998499714,0.9708731083133376,0.9822927428033134,0.993411318,0.995354493,0.9708731083133376,0.9427986283101544,0.8429793587894788,0.8703214072516677,0.946415043,0.9270691060677188,0.8429793587894788,0.9989759954277005,0.9796182569661857,0.9710402436033558,0.9999816236112399,0.9699456202980993,0.9796182569661857,0.9982139455134311,0.970514438,0.9820978345496195,0.9994499859953236,0.9953239588691101,0.970514438,0.9946656506001144,0.9333665727426484,0.955675917,0.9991585697201832,0.984953821,0.9333665727426484,0.987473805,0.9450015981382841,0.9525609704052482,0.9991630161567948,0.9649538886566108,0.9450015981382841,0.9953086302152792,0.940788155,0.9547207701412036,0.9993976547308911,0.972510345,0.940788155,0.9887359497047057,0.932720967,0.9420892022851088,0.9995521470417212,0.9553329849675195,0.932720967
17,0.9983330158125358,0.970670289,0.9768727431340356,0.9927232247300312,0.9853602780228764,0.970670289,0.934439893,0.8517769115232995,0.863611001,0.9483116594534312,0.8956162437359302,0.8517769115232995,0.9989283673080587,0.9796222796598391,0.9702990316770724,0.9999750727061106,0.9684441520900228,0.9796222796598391,0.9981901314536102,0.96749974,0.9805215006942235,0.9992266295181141,0.9955666021793098,0.96749974,0.99507049,0.9358905010125826,0.9473668979550536,0.9993361591163764,0.9654470005209456,0.9358905010125826,0.9907363307296628,0.9222470519297894,0.9406227075430635,0.9987239587534837,0.9743656361769375,0.9222470519297894,0.9958087254715184,0.9355028861995708,0.9572385674164436,0.9992760037158004,0.9859286443908004,0.9355028861995708,0.9917127071823204,0.9582179614522208,0.9628581871150803,0.999553748,0.9695981087532878,0.9582179614522208
18,0.998523528,0.96814729,0.9808950248836332,0.9930327592465296,0.9956628739271324,0.96814729,0.9429653267289008,0.8600267006549005,0.8730230696799219,0.9601882796834296,0.919392124,0.8600267006549005,0.9989045532482378,0.9789033723988756,0.978071951,0.9999759830426603,0.9806832001489814,0.9789033723988756,0.9981901314536102,0.9675986124593159,0.9811880572413634,0.9985032843610324,0.9970624283491686,0.9675986124593159,0.9922604305582016,0.9375098773125152,0.9499236229826116,0.9988297971558778,0.966925215,0.9375098773125152,0.9849257001333588,0.9455925617481055,0.9503312356549998,0.9992809901518032,0.9614321014739663,0.9455925617481055,0.995046676,0.9417546217445776,0.9481434439689816,0.9993040645092116,0.9601620333359538,0.9417546217445776,0.9886883215850638,0.9469269543170213,0.9562735333477933,0.9996830974396489,0.968598054,0.9469269543170213
19,0.9984520861116404,0.9715673138351362,0.9820235352581168,0.9921889708374192,0.9939074346900234,0.9715673138351362,0.9520861116403124,0.8146347788931976,0.8440360707909159,0.945836571,0.9096925736858014,0.8146347788931976,0.9987854829491332,0.977715502,0.9691025057901524,0.9999792573801123,0.9679473244907109,0.977715502,0.99823776,0.9704237308348141,0.9822162126026738,0.9993739663311438,0.9956505500460309,0.9704237308348141,0.9951419317965328,0.9359445809079008,0.9470506461209118,0.9992553669877592,0.9641633860677864,0.9359445809079008,0.9865450562011812,0.9349934579099722,0.9532106542521268,0.9984549670402352,0.9777425356568007,0.9349934579099722,0.9953086302152792,0.9388907166993304,0.9537408437840244,0.9994543607658108,0.9728313809941744,0.9388907166993304,0.9896885120975424,0.9387398031237824,0.9460958524900703,0.999511216,0.957170193,0.9387398031237824
20,0.998499714,0.9679967320944488,0.9808396942913404,0.9933923709730677,0.9957031085625224,0.9679967320944488,0.9304153172032767,0.8525139900176764,0.8561554013699892,0.9576263068057338,0.8721190461200362,0.8525139900176764,0.9989521813678796,0.9789015526651438,0.98682137,0.9999794638337391,0.9960319202404926,0.9789015526651438,0.997975805,0.9627652810747788,0.9783390270447632,0.9985687413758298,0.9971799052223075,0.9627652810747788,0.9949514193179654,0.9341836942203868,0.9453997558033956,0.9993350310764036,0.963112482,0.9341836942203868,0.9872356639359878,0.9203155308873364,0.9406766611439975,0.9982116963265537,0.9759536427266966,0.9203155308873364,0.9936416460278148,0.937568369,0.950584214,0.9990318286199558,0.9702822987474872,0.937568369,0.9909982853876929,0.9317893579630319,0.9365791028212489,0.9981599802209621,0.9444233583311925,0.9317893579630319
